Country_Name,Country_Code,Anxiety,Bipolar,Depression,Eating Disorders,Schizophrenia,Self-Harm,Has_MH_Policy,Has_MH_Services,Has_MH_Legislation
Afghanistan,AFG,594.3646845191588,145.37528474547182,661.6454762925752,39.45410292012931,120.46760392866796,250.76809152525925,1.0,1,1.0
Albania,ALB,494.8668901799667,105.59456058500538,358.4188160258143,46.92955710033583,134.16557566026108,178.5147164625176,1.0,1,1.0
Algeria,DZA,575.854594212452,151.1111249123679,562.8462048651446,67.40570502048035,147.68912093295114,142.00668154534148,1.0,1,0.0
Angola,AGO,429.538651801922,108.12234724616913,907.8649524392894,49.43032641271646,128.3719946614811,753.2585163277698,0.0,0,0.0
Antigua and Barbuda,ATG,537.7510509910793,177.0977894212853,416.317135955201,87.22416503074122,147.55738173502854,71.96382353963544,0.0,1,1.0
Argentina,ARG,618.8299562153366,154.68585616880532,351.37160360618566,105.10520848155016,165.00621034255468,506.23185478907527,1.0,1,1.0
Armenia,ARM,350.5311579945616,104.01757277216731,496.7823959680454,44.378052786115006,134.10905447762886,243.61857031925086,0.0,1,1.0
Australia,AUS,615.0267722124968,216.0067428033408,534.5184399295483,287.75561426577383,229.78220567695928,517.4853985016093,1.0,1,1.0
Austria,AUT,743.0971911611665,185.1495105010555,397.5878836799772,153.46060997012432,168.4041120322132,526.1332185795145,0.0,0,0.0
Azerbaijan,AZE,304.17653495515833,103.63161246441281,440.529444021592,52.76693411258794,136.93384874009305,124.57339811809548,1.0,1,1.0
Bahrain,BHR,617.3733009932304,155.3502173544542,664.6695175144753,96.68812548784567,159.81937072351346,179.38068507601625,1.0,0,1.0
Bangladesh,BGD,406.98026555226767,80.70585109005525,730.0485080256207,42.17661435898917,171.5636628054762,194.43368847173969,1.0,0,0.0
Barbados,BRB,539.4702729403855,175.54989135194688,448.1786333647062,74.8293026648698,159.74596607958972,190.76098969381863,1.0,1,1.0
Belarus,BLR,486.01766105255274,102.3042374099955,642.4335651004836,53.04701203966301,125.91852815377389,802.4511266399046,1.0,1,1.0
Belgium,BEL,653.5485357824527,183.25393631277697,496.20114033786575,132.59751805657388,165.09635198814905,586.9034457328245,1.0,1,1.0
Belize,BLZ,531.8739301025107,174.00459254089992,468.08870413425285,66.61856274415135,135.73727310646484,264.7316988457719,1.0,0,1.0
