Code,Year,Has_MH_Legislation
KGZ,2014,Yes
MDA,2014,Yes
UZB,2014,Yes
ALB,2014,Yes
AZE,2014,Yes
BIH,2014,Yes
BGR,2014,Yes
MNE,2014,Yes
ROU,2014,Yes
SRB,2014,Yes
MKD,2014,Yes
TUR,2014,Yes
TKM,2014,Yes
BGD,2014,Yes
MMR,2014,Yes
NPL,2014,Yes
IND,2014,Yes
IDN,2014,Yes
LKA,2014,Yes
TLS,2014,Yes
THA,2014,Yes
AUS,2014,Yes
BRN,2014,Yes
JPN,2014,Yes
NZL,2014,Yes
KOR,2014,Yes
SGP,2014,Yes
KHM,2014,Yes
KIR,2014,Yes
LAO,2014,Yes
FSM,2014,Yes
PNG,2014,Yes
PHL,2014,Yes
WSM,2014,Yes
SLB,2014,Yes
VNM,2014,Yes
CHN,2014,Yes
COK,2014,Yes
FJI,2014,Yes
MYS,2014,Yes
MHL,2014,Yes
