Code,Year,HealthSystem_Score
MAR,2012,100
OMN,2012,100
PAK,2012,60
QAT,2012,40
SAU,2012,100
SDN,2012,40
SYR,2012,60
TUN,2012,80
ARE,2012,0
YEM,2012,80
AND,2012,0
ARM,2012,80
AUT,2012,80
BEL,2012,60
CZE,2012,60
EST,2012,40
FIN,2012,80
FRA,2012,60
GEO,2012,100
DEU,2012,100
HUN,2012,60
ISL,2012,20
IRL,2012,40
KAZ,2012,100
LVA,2012,20
LTU,2012,20
LUX,2012,0
MLT,2012,0
MCO,2012,20
MNE,2012,20
NLD,2012,0
NOR,2012,40
POL,2012,0
MDA,2012,20
SVK,2012,40
SVN,2012,20
ESP,2012,60
SWE,2012,80
CHE,2012,20
TJK,2012,20
TUR,2012,100
BGD,2012,80
PRK,2012,40
IND,2012,100
IDN,2012,80
MDV,2012,40
MMR,2012,100
NPL,2012,20
LKA,2012,80
THA,2012,80
TLS,2012,40
AUS,2012,100
BRN,2012,60
KHM,2012,40
CHN,2012,100
COK,2012,60
FJI,2012,20
JPN,2012,100
KIR,2012,0
LAO,2012,60
MYS,2012,100
MHL,2012,40
FSM,2012,20
DZA,2010,50
BEN,2010,33
BWA,2010,33
CMR,2010,16
MNG,2012,40
NZL,2012,100
NIU,2012,0
PLW,2012,80
CPV,2010,33
COG,2010,16
COD,2010,66
ERI,2010,33
PNG,2012,40
PHL,2012,100
KOR,2012,100
WSM,2012,40
ETH,2010,33
GMB,2010,50
GHA,2010,33
KEN,2010,16
SGP,2012,100
SLB,2012,20
TON,2012,80
TUV,2012,60
LSO,2010,16
LBR,2010,16
MRT,2010,0
MOZ,2010,33
VUT,2012,0
VNM,2012,60
DZA,2013,60
BWA,2013,20
CMR,2013,100
STP,2010,0
SYC,2010,0
SLE,2010,0
ZAF,2010,16
SWZ,2010,33
COG,2013,0
COD,2013,40
ERI,2013,60
GMB,2013,0
TGO,2010,0
UGA,2010,33
ATG,2010,50
BHS,2010,0
AGO,2013,60
BFA,2013,60
BDI,2013,0
CAF,2013,40
BRB,2010,33
BLZ,2010,0
BRA,2010,66
CAN,2010,100
TCD,2013,20
COM,2013,50
CIV,2013,100
GNQ,2013,60
COL,2010,50
CRI,2010,100
DMA,2010,33
DOM,2010,100
GHA,2013,40
KEN,2013,40
LSO,2013,40
MDG,2013,40
MUS,2013,40
ECU,2010,50
GUY,2010,33
HND,2010,50
JAM,2010,0
MEX,2010,0
MOZ,2013,100
NER,2013,20
NGA,2013,20
RWA,2013,40
LCA,2010,16
TTO,2010,0
USA,2010,100
AFG,2010,16
STP,2013,0
SYC,2013,40
SLE,2013,60
ZAF,2013,50
BHR,2010,83
EGY,2010,100
IRN,2010,50
IRQ,2010,16
SSD,2013,100
SWZ,2013,60
TGO,2013,80
UGA,2013,40
JOR,2010,83
KWT,2010,33
LBN,2010,33
LBY,2010,66
TZA,2013,60
ZMB,2013,100
ATG,2013,100
ARG,2013,100
MAR,2010,66
OMN,2010,66
PAK,2010,0
QAT,2010,66
SAU,2010,83
BRB,2013,60
BLZ,2013,40
